county_fips,county_nm,county_pop,total_bg_pop,pop_11,pop_12,pop_13,pop_21,pop_22,pop_23,pop_31,pop_32,pop_33,pop_41,pop_42,pop_43,urban_suburban_pop,rural_pop,urban_suburban_perc,rural_perc,metro_fips,metro_nm,city_name,city_pop,city_contains_small_urban,city_contains_mid_sized_urban,city_contains_large_urban,MSA_large_urban,MSA_mid_sized_urban,locale_type
5045,"Faulkner County, Arkansas",129951,126000.99984249,,,55638.6267802996,,,1438.38358460366,,,,38372.5918499057,30551.3976276811,,57077.0103649033,68923.9894775868,0.45298855117224,0.54701144882776,30780,"Little Rock-North Little Rock-Conway, AR","Conway city, Arkansas",69580,1,0,0,0,1,Suburban
5047,"Franklin County, Arkansas",17468,17220.0000000016,,,,,,,,,,,14959.7945537218,2260.20544627981,0,17220.0000000016,0,1,,,,,,,,0,0,Rural
5049,"Fulton County, Arkansas",12421,12238.9999999974,,,,,,,,,,,283.802934342836,11955.1970656545,0,12238.9999999974,0,1,,,,,,,,0,0,Rural
5051,"Garland County, Arkansas",99784,100061.999931032,,,31812.7022308353,,,16058.9775722167,4432.79502719303,,,41246.2056962324,6511.31940455464,,47871.679803052,47757.525100787,0.47842017785021,0.477279338147389,26300,"Hot Springs, AR",,,,,,0,0,Small town
5053,"Grant County, Arkansas",18383,18110.9998022277,,,,,,,,2606.72698320199,,4379.909280025,10021.2830037262,1103.08053527446,0,15504.2728190257,0,0.856069404689555,30780,"Little Rock-North Little Rock-Conway, AR",,,,,,0,1,Rural
5055,"Greene County, Arkansas",46743,46181.99997493,,,,,,,,17774.8841369946,,13864.7449925891,13754.3424069749,788.028438371377,0,28407.1158379354,0,0.61511229165814,,,,,,,,0,0,Rural
5057,"Hempstead County, Arkansas",19343,19777.9999994082,,,,,,,,4427.02001675671,,4804.47818993031,7594.36995106461,2952.13184165661,0,15350.9799826515,0,0.776164424264882,,,,,,,,0,0,Rural
5059,"Hot Spring County, Arkansas",33258,33141.9998805725,,,,,,1.17980414589331,6225.15737160535,,,10113.6690604825,16797.6672150811,4.32642925763557,1.17980414589331,26915.6627048212,3.55984596628068e-05,0.812131518973269,,,,,,,,0,0,Rural
5061,"Howard County, Arkansas",12533,12701.0000000004,,,,,,,,,,,1336.91939270942,11364.080607291,0,12701.0000000004,0,1,,,,,,,,0,0,Rural
5063,"Independence County, Arkansas",38320,38120.000003113,,,,,,,,,5388.30228884243,12051.7179741657,16063.741586403,4616.23815370191,0,32731.6977142706,0,0.858648943116411,,,,,,,,0,0,Rural
5065,"Izard County, Arkansas",14169,13865.9999999998,,,,,,,,,,,1.21048092561816,13864.7895190742,0,13865.9999999998,0,1,,,,,,,,0,0,Rural
5067,"Jackson County, Arkansas",16784,16775.0000134896,,,,,,,,3198.74961964233,,4585.77322887083,7347.24418443881,1643.23298053763,0,13576.2503938473,0,0.809314478863186,,,,,,,,0,0,Rural
5069,"Jefferson County, Arkansas",63661,65779.9997862347,,,,,,,,36623.726810739,,15987.2462124792,12217.8987870962,951.127975920311,0,29156.2729754958,0,0.443239177109226,,,,,,,,0,0,Small town
5071,"Johnson County, Arkansas",26129,25931.9999995117,,,,,,,,,3965.15121303592,8383.79460847862,11137.5574442659,2445.4967337312,0,21966.8487864757,0,0.847094276835161,,,,,,,,0,0,Rural
5073,"Lafayette County, Arkansas",6095,6211.00000000363,,,,,,,,,,21.9986186361033,2898.9402874251,3290.06109394242,0,6211.00000000363,0,1,,,,,,,,0,0,Rural
5075,"Lawrence County, Arkansas",16318,16265.0000002372,,,,,,,,2694.10493517926,,5109.43418544626,4204.11693297893,4257.34394663272,0,13570.8950650579,0,0.834361823846297,,,,,,,,0,0,Rural
